id,state,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,All states,"292,805,298","295,516,599","298,379,912","301,231,207","304,093,966","306,771,529",308745538,311718857,314102623,316427395,318907401,321418820
1,Alabama,"4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938",4779736,4801108,4816089,4830533,4846411,4858979
2,Alaska,"659,286","666,946","675,302","680,300","687,455","698,895",710231,722720,731228,737442,737046,738432
4,Arizona,"5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154",6392017,6468732,6553262,6630799,6728783,6828065
5,Arkansas,"2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843",2915918,2938538,2949499,2957957,2966835,2978204
6,California,"35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229",37253956,37700034,38056055,38414128,38792291,39144818
8,Colorado,"4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195",5029196,5119480,5191731,5271132,5355588,5456574
9,Connecticut,"3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807",3574097,3589759,3593541,3597168,3594762,3590886
10,Delaware,"830,803","845,150","859,268","871,749","883,874","891,730",897934,907916,917099,925353,935968,945934
11,District of Columbia,"567,754","567,136","570,681","574,404","580,236","592,228",601723,620472,635342,649540,659836,672228
12,Florida,"17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644",18801310,19105533,19352021,19594467,19905569,20271272
13,Georgia,"8,769,252","8,925,922","9,155,813","9,349,988","9,504,843","9,620,846",9687653,9812280,9917639,9991562,10097132,10214860
15,Hawaii,"1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717",1360301,1378227,1392641,1408765,1420257,1431603
16,Idaho,"1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439",1567582,1584134,1596097,1612785,1634806,1654930
17,Illinois,"12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778",12830632,12861882,12875167,12889580,12882189,12859995
18,Indiana,"6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325",6483802,6516845,6538283,6570518,6597880,6619680
19,Iowa,"2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870",3046355,3065389,3076636,3092224,3109481,3123899
20,Kansas,"2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704",2853118,2869917,2886281,2894630,2902507,2911641
21,Kentucky,"4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074",4339367,4367882,4382667,4398500,4412617,4425092
22,Louisiana,"4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648",4533372,4575381,4603676,4627491,4648990,4670724
23,Maine,"1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590",1328361,1328257,1328888,1328778,1330256,1329328
24,Maryland,"5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388",5773552,5844171,5890740,5936040,5975346,6006401
25,Massachusetts,"6,412,281","6,403,290","6,410,084","6,431,559","6,468,967","6,517,613",6547629,6611797,6657780,6708810,6755124,6794422
26,Michigan,"10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591",9883640,9876589,9886879,9900506,9916306,9922576
27,Minnesota,"5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203",5303925,5348119,5380443,5420541,5457125,5489594
28,Mississippi,"2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774",2967297,2977999,2985660,2990976,2993443,2992333
29,Missouri,"5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088",5988927,6010587,6025468,6043708,6063827,6083672
30,Montana,"930,009","940,102","952,692","964,706","976,415","983,982",989415,997746,1005157,1014402,1023252,1032949
31,Nebraska,"1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683",1826341,1842383,1855973,1869300,1882980,1896190
32,Nevada,"2,346,222","2,432,143","2,522,658","2,601,072","2,653,630","2,684,665",2700551,2718819,2754874,2790366,2838281,2890845
33,New Hampshire,"1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102",1316470,1318344,1321393,1322660,1327996,1330608
34,New Jersey,"8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602",8791894,8842934,8874893,8907384,8938844,8958013
35,New Mexico,"1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802",2059179,2078226,2084792,2086890,2085567,2085109
36,New York,"19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066",19378102,19523202,19606981,19691032,19748858,19795791
37,North Carolina,"8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566",9535483,9651025,9747021,9845432,9940387,10042802
38,North Dakota,"644,705","646,089","649,422","652,822","657,569","664,968",672591,685326,702265,723626,740040,756927
39,Ohio,"11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896",11536504,11545442,11551783,11572232,11596998,11613423
40,Oklahoma,"3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572",3751351,3786626,3817679,3853405,3879610,3911338
41,Oregon,"3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600",3831074,3868509,3899444,3928030,3971202,4028977
42,Pennsylvania,"12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858",12702379,12745202,12772789,12783536,12793767,12802503
44,Rhode Island,"1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646",1052567,1051856,1052393,1052856,1054907,1056298
45,South Carolina,"4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872",4625364,4672733,4721341,4768498,4829160,4896146
46,South Dakota,"770,396","775,493","783,033","791,623","799,124","807,067",814180,824289,834631,845270,853304,858469
47,Tennessee,"5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019",6346105,6398408,6455469,6496130,6547779,6600299
48,Texas,"22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761",25145561,25654464,26089741,26500674,26979078,27469114
49,Utah,"2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421",2763885,2816440,2856343,2903685,2944498,2995919
50,Vermont,"619,920","621,215","622,892","623,481","624,151","624,817",625741,626687,626398,627129,626767,626042
51,Virginia,"7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937",8001024,8110783,8193374,8267875,8328098,8382993
53,Washington,"6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426",6724540,6823229,6897292,6973281,7063166,7170351
54,West Virginia,"1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775",1852994,1854948,1856283,1852985,1848751,1844128
55,Wisconsin,"5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264",5686986,5709720,5726422,5743653,5759432,5771337
56,Wyoming,"509,106","514,157","522,667","534,876","546,043","559,851",563626,567768,577080,583131,584304,586107
